Number of eigenvalues,Accumulation,Percentage,Accumulation,Percentage
59,2921890,85.086574918,311623,99.9659961056
60,2930340,85.3326422094,311629,99.9679208543
61,2938570,85.5723030151,311635,99.9698456031
62,2946770,85.8110902091,311641,99.9717703518
63,2954590,86.0388116551,311645,99.9730535176
64,2962190,86.2601266155,311650,99.9746574749
65,2969540,86.4741614784,311654,99.9759406407
66,2976620,86.6803338361,311658,99.9772238066
67,2983580,86.8830117472,311661,99.9781861809
68,2990310,87.0789919686,311665,99.9794693468
69,2996960,87.2726425589,311669,99.9807525126
70,3003440,87.4613426829,311672,99.981714887
71,3009850,87.6480043797,311675,99.9826772613
72,3016090,87.8297156103,311678,99.9836396357
73,3022160,88.0064763746,311681,99.9846020101
74,3028090,88.1791602844,311683,99.985243593
75,3033790,88.3451465047,311685,99.9858851759
76,3039400,88.5085118899,311688,99.9868475503
77,3044920,88.66925644,311689,99.9871683417
78,3050220,88.8235945044,311691,99.9878099246
79,3055260,88.9703612676,311693,99.9884515076
80,3060150,89.1127599723,311695,99.9890930905
81,3065000,89.2539938614,311696,99.9894138819
82,3069810,89.394062935,311698,99.9900554648
83,3074580,89.532967193,311699,99.9903762563
84,3079230,89.6683770042,311701,99.9910178392
85,3083780,89.8008747765,311702,99.9913386307
86,3088270,89.9316253254,311703,99.9916594221
87,3092720,90.0612110588,311704,99.9919802136
88,3096990,90.185555122,311705,99.992301005
89,3101180,90.3075695541,311706,99.9926217965
90,3105290,90.427254355,311707,99.992942588
91,3109270,90.5431535052,311708,99.9932633794
92,3113180,90.6570142282,311709,99.9935841709
93,3117030,90.7691277279,311710,99.9939049623
94,3120830,90.879785208,311711,99.9942257538
95,3124540,90.9878218531,311711,99.9942257538
96,3128230,91.0952760904,311712,99.9945465452
97,3131800,91.199235881,311713,99.9948673367
98,3135350,91.3026132638,311713,99.9948673367
99,3138830,91.4039522193,311714,99.9951881281
100,3142260,91.5038351553,311715,99.9955089196
101,3145610,91.6013884602,311715,99.9955089196
102,3148860,91.6960297261,311716,99.9958297111
103,3152080,91.7897973803,311716,99.9958297111
104,3155210,91.8809441995,311717,99.9961505025
105,3158330,91.9717998148,311717,99.9961505025
106,3161380,92.0606170028,311717,99.9961505025
107,3164350,92.1471045597,311718,99.996471294
108,3167250,92.2315536893,311718,99.996471294
109,3170120,92.3151292072,311719,99.9967920854
110,3172920,92.3966662978,311719,99.9967920854
111,3175630,92.4755825534,311719,99.9967920854
112,3178310,92.5536251973,311720,99.9971128769
113,3180980,92.6313766373,311720,99.9971128769
114,3183630,92.7085456695,311720,99.9971128769
115,3186230,92.7842586822,311721,99.9974336683
116,3188810,92.8593892872,311721,99.9974336683
117,3191330,92.9327726688,311721,99.9974336683
118,3193820,93.0052824387,311722,99.9977544598
119,3196280,93.0769185969,311722,99.9977544598
120,3198680,93.1468075317,311722,99.9977544598
121,3201060,93.2161140587,311722,99.9977544598
122,3203420,93.284838178,311723,99.9980752513
123,3205750,93.3526886856,311723,99.9980752513
124,3208040,93.4193743776,311723,99.9980752513
125,3210290,93.484895254,311723,99.9980752513
126,3212510,93.5495425187,311723,99.9980752513
127,3214690,93.6130249678,311724,99.9983960427
128,3216840,93.6756338053,311724,99.9983960427
129,3218960,93.737369031,311724,99.9983960427
130,3221040,93.7979394412,311724,99.9983960427
131,3223120,93.8585098514,311724,99.9983960427
132,3225150,93.9176242421,311724,99.9983960427
133,3227160,93.9761562251,311724,99.9983960427
134,3229170,94.034688208,311725,99.9987168342
135,3231140,94.0920553753,311725,99.9987168342
136,3233100,94.1491313388,311725,99.9987168342
137,3235040,94.2056248944,311725,99.9987168342
138,3236940,94.2609536345,311725,99.9987168342
139,3238770,94.3142439473,311725,99.9987168342
140,3240580,94.3669518523,311725,99.9987168342
141,3242370,94.4190773496,311725,99.9987168342
142,3244130,94.4703292351,311726,99.9990376256
143,3245860,94.520707509,311726,99.9990376256
144,3247580,94.5707945789,311726,99.9990376256
145,3249280,94.6202992411,311726,99.9990376256
146,3250970,94.6695126994,311726,99.9990376256
147,3252630,94.717852546,311726,99.9990376256
148,3254270,94.7656099848,311726,99.9990376256
