Number of eigenvalues,Accumulation,Percentage,Accumulation,Percentage
737,3434020,100,311729,100
738,3434020,100,311729,100
739,3434020,100,311729,100
740,3434020,100,311729,100
741,3434020,100,311729,100
742,3434020,100,311729,100
743,3434020,100,311729,100
744,3434020,100,311729,100
745,3434020,100,311729,100
746,3434020,100,311729,100
747,3434020,100,311729,100
748,3434020,100,311729,100
749,3434020,100,311729,100
750,3434020,100,311729,100
751,3434020,100,311729,100
752,3434020,100,311729,100
753,3434020,100,311729,100
754,3434020,100,311729,100
755,3434020,100,311729,100
756,3434020,100,311729,100
757,3434020,100,311729,100
758,3434020,100,311729,100
759,3434020,100,311729,100
760,3434020,100,311729,100
761,3434020,100,311729,100
762,3434020,100,311729,100
763,3434020,100,311729,100
764,3434020,100,311729,100
765,3434020,100,311729,100
766,3434020,100,311729,100
767,3434020,100,311729,100
768,3434020,100,311729,100
769,3434020,100,311729,100
770,3434020,100,311729,100
771,3434020,100,311729,100
772,3434020,100,311729,100
773,3434020,100,311729,100
774,3434020,100,311729,100
775,3434020,100,311729,100
776,3434020,100,311729,100
777,3434020,100,311729,100
778,3434020,100,311729,100
779,3434020,100,311729,100
780,3434020,100,311729,100
781,3434020,100,311729,100
782,3434020,100,311729,100
783,3434020,100,311729,100
784,3434020,100,311729,100
