F1 Score STD,0.00483617,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3213,0,183,141,15,216,284,7,58,15
1,0,3924,8,25,91,7,7,421,24,177
2,341,52,610,644,373,461,569,333,446,348
3,287,49,639,766,362,501,598,338,480,331
4,40,195,389,471,601,282,278,709,488,619
5,359,17,605,596,324,456,585,231,359,263
6,483,19,604,733,320,486,621,232,412,227
7,8,727,270,299,646,178,182,954,375,762
8,165,43,513,583,513,396,455,432,504,459
9,45,371,313,359,671,216,211,871,432,699
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,20,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.297524,,,,,,,,,
Hit Rate STD,0.00670837,,,,,,,,,
Precision Avg,0.269922,,,,,,,,,
Precision STD,0.00488601,,,,,,,,,
Recall Avg,0.289634,,,,,,,,,
Recall STD,0.00444736,,,,,,,,,
F1 Score Avg,0.279429,,,,,,,,,
F1 Score STD,0.00465782,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3250,0,174,140,11,202,289,9,48,9
1,0,3960,6,22,81,5,4,421,21,164
2,349,53,573,654,367,469,573,340,452,347
3,295,50,614,778,351,484,622,341,492,324
4,36,191,343,448,585,261,299,752,497,660
5,366,15,565,592,317,453,614,244,355,274
6,487,19,579,746,295,496,646,220,406,243
7,11,737,248,276,628,153,153,1021,385,789
8,170,42,497,588,519,370,451,443,506,477
9,43,379,282,334,650,207,209,914,446,724
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,25,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.301643,,,,,,,,,
Hit Rate STD,0.00674041,,,,,,,,,
Precision Avg,0.273293,,,,,,,,,
Precision STD,0.00434344,,,,,,,,,
Recall Avg,0.293641,,,,,,,,,
Recall STD,0.00421862,,,,,,,,,
F1 Score Avg,0.283101,,,,,,,,,
F1 Score STD,0.00427468,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3278,0,158,137,11,192,304,9,37,6
1,0,3987,7,16,72,5,4,413,16,164
2,358,56,569,668,358,446,584,348,451,339
3,288,47,593,780,346,479,646,355,491,326
4,38,184,327,451,585,234,290,788,490,685
5,370,14,548,607,306,441,626,234,370,279
6,496,19,575,756,282,483,676,211,390,249
7,8,737,226,286,598,143,142,1054,382,825
8,163,43,486,590,509,353,454,438,538,489
9,41,376,250,323,620,187,207,965,458,761
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,50,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.306714,,,,,,,,,
Hit Rate STD,0.00574821,,,,,,,,,
Precision Avg,0.277012,,,,,,,,,
Precision STD,0.00323902,,,,,,,,,
Recall Avg,0.29854,,,,,,,,,
Recall STD,0.0031747,,,,,,,,,
F1 Score Avg,0.287373,,,,,,,,,
F1 Score STD,0.00319852,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3311,0,153,131,7,169,317,9,31,4
1,0,4016,4,12,62,4,4,416,20,146
2,366,57,567,678,335,407,608,351,458,350
3,289,48,562,801,324,446,672,339,515,355
4,34,179,306,450,582,203,296,796,514,712
5,383,12,536,615,313,406,641,226,368,295
6,499,18,533,764,259,480,717,208,402,257
7,9,752,192,262,575,114,144,1117,382,854
8,169,37,469,579,494,317,455,451,568,524
9,40,372,244,316,591,148,192,1037,451,797
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,75,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.310143,,,,,,,,,
Hit Rate STD,0.00492656,,,,,,,,,
Precision Avg,0.279192,,,,,,,,,
Precision STD,0.00202384,,,,,,,,,
Recall Avg,0.301825,,,,,,,,,
Recall STD,0.0019907,,,,,,,,,
F1 Score Avg,0.290067,,,,,,,,,
F1 Score STD,0.00195717,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3345,0,135,132,6,147,326,7,30,4
1,0,4032,3,11,55,3,2,424,20,134
2,374,56,524,680,344,371,642,354,485,347
3,302,48,540,821,321,384,683,344,550,358
4,35,177,298,447,578,165,290,811,530,741
5,400,11,485,644,301,368,646,220,408,312
6,507,17,523,773,260,439,744,213,401,260
7,9,752,174,266,512,94,141,1191,383,879
8,170,36,450,583,491,264,464,452,594,559
9,42,365,213,318,574,105,187,1087,468,829
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,100,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.311667,,,,,,,,,
Hit Rate STD,0.00495043,,,,,,,,,
Precision Avg,0.279508,,,,,,,,,
Precision STD,0.0011923,,,,,,,,,
Recall Avg,0.303231,,,,,,,,,
Recall STD,0.00212454,,,,,,,,,
F1 Score Avg,0.290885,,,,,,,,,
F1 Score STD,0.00149052,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3371,0,112,128,4,130,348,6,27,6
1,0,4046,2,10,49,3,1,423,21,129
2,372,53,495,708,326,348,641,356,525,353
3,313,50,519,811,300,368,692,336,588,374
4,40,179,271,457,540,145,287,854,565,734
5,411,12,446,662,290,337,670,227,421,319
6,511,17,494,779,255,410,767,209,429,266
7,9,748,161,263,478,81,133,1252,414,862
8,173,38,427,614,472,226,450,464,637,562
9,41,367,196,313,566,95,175,1104,497,834
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,150,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.314048,,,,,,,,,
Hit Rate STD,0.00525862,,,,,,,,,
Precision Avg,0.281225,,,,,,,,,
Precision STD,0.00193878,,,,,,,,,
Recall Avg,0.305471,,,,,,,,,
Recall STD,0.00214536,,,,,,,,,
F1 Score Avg,0.292845,,,,,,,,,
F1 Score STD,0.00194009,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
